plor_cd,plor_nm
220727.0,강원 원주시 명륜2동  강원도원주교육청 
220728.0,강원 원주시 단구동  두산아파트 101∼105동
220729.0,강원 원주시 단구동  현진에버빌아파트 501∼607동
220730.0,강원 원주시 단구동  세경6차웰러스아파트 601∼604동
220731.0,강원 원주시 명륜2동  한솔솔파크아파트 101∼106동
220732.0,강원 원주시 무실동  주공뜨란채아파트 201∼208동
220733.0,강원 원주시 관설동  코아루아파트 101∼106동
220734.0,강원 원주시 봉산동  동신아파트 101∼105동
220735.0,강원 원주시 태장2동  금광포란재아파트 101∼119동
220736.0,강원 원주시 우산동  강원도중소기업지원센터 
220737.0,강원 원주시 태장1동  흥화브라운빌 101∼108동
220738.0,강원 원주시 무실동  요진보네르카운티아파트 101∼109동
220739.0,강원 원주시 관설동  청솔아파트 801∼806동
220740.0,강원 원주시 단구동  유승아파트 
220741.0,강원 원주시 단구동  청솔아파트 701∼704동
220742.0,강원 원주시 무실동  주공아파트 301∼311동
220743.0,강원 원주시 행구동  현대아파트 
220744.0,강원 원주시 무실동  주공아파트 101∼109동
220745.0,강원 원주시 문막읍  부영아파트 
220746.0,강원 원주시 문막읍  덕원아파트 
220747.0,강원 원주시 문막읍 동화10리 현진아파트 101∼106동
220748.0,강원 원주시 흥업면  매지청솔아파트 
220749.0,강원 원주시 소초면  영진1차아파트 101∼103동
220750.0,강원 원주시 판부면  거장2차아파트 101∼102동
220751.0,강원 원주시 단계동  단계아파트 
220752.0,강원 원주시 단계동  코오롱아파트 
220753.0,강원 원주시 단구동  대림아파트 
220754.0,강원 원주시 단구동  현대아파트 
220755.0,강원 원주시 명륜2동  명륜2차아파트 
220756.0,강원 원주시 명륜2동  청구아파트 
220757.0,강원 원주시 태장1동  성호샤인힐즈아파트 201∼205동
220758.0,강원 원주시 태장2동  주공아파트 
220759.0,강원 원주시 단구동  청솔아파트 101∼404동
220760.0,강원 원주시 원동  원동1단지아파트 101∼112동
220761.0,강원 원주시 명륜1동  성원아파트 
220762.0,강원 원주시 개운동  한신휴플러스1차아파트 101∼107동
220763.0,강원 원주시 개운동  현대아파트 
220764.0,강원 원주시 단계동  동보렉스3차아파트 101∼202동
220765.0,강원 원주시 단계동  벽산아파트 
220766.0,강원 원주시 단계동  세경3차아파트 
220767.0,강원 원주시 단계동  은행아파트 101∼103동
220768.0,강원 원주시 단구동  대흥아파트 
220769.0,강원 원주시 단구동  성일아파트 
220770.0,강원 원주시 단구동  세경5차아파트 
220771.0,강원 원주시 관설동  청솔5차아파트 501∼504동
220772.0,강원 원주시 단구동  통일아파트 
220773.0,강원 원주시 단구동  한일아파트 
